n,legacy,median,random,worst legacy,worst median,worst random
1,88,82,99,66,69,75
2,156,157,167,130,136,131
4,328,326,371,262,264,257
8,684,769,791,549,562,702
16,1619,1662,1660,1212,1245,1353
32,3606,3933,3847,3488,2655,2950
64,7930,8303,12325,11414,5230,5935
128,17978,18248,18462,30712,10377,12683
256,51713,45265,45512,118308,23769,29548
512,61452,62800,68699,333853,30261,42230
1024,93987,107527,98213,846375,46961,58545
2048,211489,201681,213280,3324676,95878,121649
4096,427186,419100,428278,13078550,189508,246607
8192,913546,945263,926096,52037928,393747,509485
16384,1914459,1949978,1978681,208614823,808868,1064922
32768,4113946,4136189,4203396,828367762,1689119,2197693
